Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2020-12-10,118.81,17.99,158.22,123.24,107.49,99.37,106.52,34.27,246.16,476.87,141.28,49.2,172.0,281.16,77.34,82.48,20.85,45.35,39.71,132.52,119.51,103.41,141.43,508.39,51.29,105.42,110.65,87.89,11.53,91.66,118.35,228.16,192.85,219.41,155.075,69.0925,334.04,206.24,56.31,16.5,268.82,65.705,124.15,171.01,98.17,83.11,162.52,410.04,150.8,148.07
2020-12-11,118.48,17.05,157.66,122.41,106.34,98.06,107.02,33.75,245.83,475.91,141.15,49.81,173.53,279.68,77.47,82.76,21.15,44.84,38.79,132.22,119.94,103.53,138.65,507.08,49.88,104.43,109.58,88.3,11.44,91.65,118.38,227.4,191.74,219.82,155.821,69.335,335.185,204.11,56.36,16.1,267.36,65.505,122.24,172.58,99.07,83.68,162.36,405.82,150.01,148.28
2020-12-14,116.74,16.7,157.56,121.78,104.2,97.12,106.79,33.57,243.75,486.42,142.33,48.69,173.15,288.33,77.24,82.21,21.3,44.2,38.16,131.65,120.5,103.27,134.57,504.31,48.93,104.87,109.69,88.5,11.27,94.78,116.3,229.46,190.99,216.72,157.849,68.62,343.39,203.96,55.41,15.31,265.4,65.15,121.65,172.83,99.51,85.94,159.67,411.8,148.77,148.55
2020-12-15,117.39,17.01,159.84,127.88,102.82,99.03,107.45,34.93,247.05,482.64,144.06,49.57,175.75,287.53,78.73,84.29,22.28,44.87,38.54,132.39,123.63,103.87,137.94,516.3,50.33,105.92,111.7,88.47,11.54,97.12,117.79,230.53,190.77,217.25,158.256,69.8975,343.03,208.03,56.42,15.89,270.01,65.775,122.61,176.18,101.68,86.92,161.97,418.06,150.98,152.99
2020-12-16,117.24,16.86,161.32,127.81,104.64,98.37,107.34,35.4,247.45,489.9,142.8,49.2,175.59,292.17,78.0,82.83,21.9,44.68,38.32,134.21,126.45,104.52,135.78,516.34,49.75,106.42,111.2,88.55,11.4,96.85,116.78,228.44,189.74,219.62,162.048,71.425,343.62,209.21,55.08,15.8,268.9,65.43,122.84,177.63,99.35,88.22,161.51,424.9,150.65,150.37
2020-12-17,118.97,16.8,160.34,128.7,104.89,98.74,108.78,35.55,264.47,495.36,143.78,49.38,177.34,297.35,78.74,83.86,22.09,44.81,38.23,132.37,128.19,105.61,137.48,526.72,50.17,106.56,112.82,87.5,11.56,96.84,117.63,231.24,190.05,222.71,161.804,71.3425,346.63,211.3,55.26,15.75,268.6,66.085,124.89,177.7,99.09,88.46,163.23,426.1,152.23,151.86
2020-12-18,119.3,16.51,159.99,126.655,104.45,98.61,108.97,34.43,266.25,502.95,144.56,49.68,179.24,305.0,78.86,83.29,22.54,43.89,37.48,131.29,125.32,107.08,138.9,529.92,50.35,107.4,113.75,86.09,11.66,95.92,118.1,228.49,186.94,221.52,160.083,71.93,357.81,205.49,55.64,15.33,269.55,65.325,124.3,175.26,95.11,90.37,158.44,434.56,152.96,150.24
2020-12-21,117.78,16.1,160.49,128.23,103.71,97.67,108.09,34.37,261.42,498.39,142.59,49.37,177.49,300.88,77.08,82.12,22.62,43.59,37.37,130.82,125.0,105.98,142.02,530.71,50.22,106.17,112.79,86.41,11.47,93.23,118.11,227.31,186.76,219.78,160.309,71.815,355.95,209.15,55.82,14.85,264.49,64.68,123.32,174.62,92.02,88.81,157.96,428.88,152.08,149.11
2020-12-22,117.37,15.48,159.4,131.88,102.8,96.72,108.28,34.58,259.47,504.17,144.28,48.73,176.34,303.86,76.55,81.4,22.82,43.03,36.8,131.49,123.81,106.64,146.27,536.59,50.35,106.19,112.39,85.64,11.5,93.16,117.66,220.99,185.06,220.49,160.326,72.705,362.31,209.23,55.36,14.12,264.01,64.435,125.04,175.89,92.33,89.42,158.56,433.1,151.76,148.06
2020-12-23,117.3,15.89,159.29,130.96,103.28,97.24,107.45,35.08,257.44,496.91,143.22,49.35,175.19,300.18,75.72,80.71,23.49,43.53,37.44,132.44,123.04,107.06,149.91,525.0,51.84,105.99,112.76,84.03,11.56,91.55,118.62,222.94,188.54,217.4,159.264,71.6225,362.22,207.9,55.11,14.78,266.25,64.38,128.35,173.69,92.03,90.21,156.72,425.46,152.71,147.41
2020-12-24,117.31,15.66,160.68,131.97,103.26,96.97,108.35,34.86,257.3,499.86,144.47,49.44,176.56,301.39,76.47,81.42,23.27,43.84,37.37,132.62,123.42,107.46,149.64,528.03,52.25,107.19,113.03,85.33,11.64,91.81,119.04,222.93,189.7,218.65,158.635,72.21,364.17,210.61,55.48,14.43,268.35,64.585,128.42,174.5,92.77,90.96,157.74,431.46,153.4,149.14
2020-12-25,117.31,15.66,160.68,131.97,103.26,96.97,108.35,34.86,257.3,499.86,144.47,49.44,176.56,301.39,76.47,81.42,23.27,43.84,37.37,132.62,123.42,107.46,149.64,528.03,52.25,107.19,113.03,85.33,11.64,91.81,119.04,222.93,189.7,218.65,158.635,72.21,364.17,210.61,55.48,14.43,268.35,64.585,128.42,174.5,92.77,90.96,157.74,431.46,153.4,149.14
2020-12-28,117.83,16.06,158.8,136.69,103.45,96.8,107.79,35.33,259.68,498.95,144.68,49.7,176.61,299.65,76.75,81.28,23.3,43.92,37.07,133.38,123.03,107.28,149.72,520.86,52.58,107.47,114.52,84.87,11.59,91.6,119.76,223.65,189.98,221.07,164.198,72.735,363.72,206.83,55.62,14.21,268.6,64.92,128.14,175.87,93.41,91.43,160.33,431.88,153.94,149.65
2020-12-29,117.23,15.86,156.69,134.87,104.7,97.12,108.33,35.3,257.76,502.11,143.66,49.45,174.87,298.11,76.57,81.18,23.31,43.75,37.16,132.53,121.53,106.71,146.22,520.45,52.03,107.52,113.54,84.27,11.6,90.62,118.66,226.87,189.07,220.48,166.1,71.875,360.85,206.91,54.71,14.15,268.73,64.22,128.07,175.16,93.16,91.37,157.21,429.04,152.22,150.73
